session_id,description,cluster_name,status,created_at,updated_at,completed_at,problem_category,severity,top_hypothesis,confidence,error_message
diag-20260504202702-80b552c5,start failed,prod-01,pending,2026-05-04T20:27:02.528457,2026-05-04T20:27:02.528457,,,medium,,0.0,
diag-20260504203900-6297774d,start failed,prod-01,failed,2026-05-04T20:39:00.912364,2026-05-04T20:39:01.977780,2026-05-04T20:39:01.977780,,medium,,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: test-key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
diag-20260504203916-f0ab4f42,??????,prod-01,failed,2026-05-04T20:39:16.807563,2026-05-04T20:39:17.725705,2026-05-04T20:39:17.725705,,medium,,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: test-key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
diag-20260504205109-d02196cf,start failed,prod-01,failed,2026-05-04T20:51:09.292864,2026-05-04T20:51:10.237624,2026-05-04T20:51:10.237624,,medium,,0.0,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: test-key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
diag-20260504211253-3d9a143e,test issue,test-cluster,failed,2026-05-04T21:12:53.156655,2026-05-04T21:12:53.564266,2026-05-04T21:12:53.564266,,medium,,0.0,"Error code: 404 - {'error': {'message': 'The model `gpt-4o` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}, 'request_id': '3f0df04d-e6ce-975c-81c4-dae8f08d9b1a'}"
diag-20260504211729-e38728c2,start failed,prod-01,failed,2026-05-04T21:17:29.439775,2026-05-04T21:17:29.754341,2026-05-04T21:17:29.754341,,medium,,0.0,"Error code: 404 - {'error': {'message': 'The model `gpt-4o` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}, 'request_id': 'a008cfe9-71ff-961a-8f74-93fe06f264db'}"
diag-20260504212109-6dc65bae,start failed,prod-01,failed,2026-05-04T21:21:09.067668,2026-05-04T21:21:09.369058,2026-05-04T21:21:09.369058,,medium,,0.0,"Error code: 404 - {'error': {'message': 'The model `gpt-4o` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}, 'request_id': 'e0b597e4-8dca-934f-a233-d8bb5e7490d3'}"
diag-20260504212553-6f15851f,start failed,prod-01,failed,2026-05-04T21:25:53.942655,2026-05-04T21:25:54.315062,2026-05-04T21:25:54.315062,,medium,,0.0,"Error code: 404 - {'error': {'message': 'The model `gpt-4o` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}, 'request_id': 'fbf31f7e-1bc4-9abb-9b51-e6c5aa105d8c'}"
diag-20260504221244-d66bb802,test issue,test-cluster,failed,2026-05-04T22:12:44.147848,2026-05-04T22:12:44.588253,2026-05-04T22:12:44.588253,,medium,,0.0,"Error code: 404 - {'error': {'message': 'The model `gpt-4o` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}, 'request_id': '37d69371-7dcf-9d22-a512-6865b516f495'}"
diag-20260504221543-baf1726c,login failed,prod-01,running,2026-05-04T22:15:43.343806,2026-05-04T22:15:43.344808,,,medium,,0.0,
diag-20260504222644-799d4c12,login failed,prod-01,failed,2026-05-04T22:26:44.437122,2026-05-04T22:27:46.726645,2026-05-04T22:27:46.726645,,medium,,0.0,"'\n  ""steps""'"
diag-20260504223145-9eb58684,login failed,prod-01,failed,2026-05-04T22:31:45.629325,2026-05-04T22:35:14.920446,2026-05-04T22:35:14.920446,,medium,,0.0,'str' object has no attribute 'name'
diag-20260504223548-a22a2cf4,login failed,prod-01,running,2026-05-04T22:35:48.997209,2026-05-04T22:35:48.998207,,,medium,,0.0,
diag-20260504223614-89fd6e48,login failed,prod-01,failed,2026-05-04T22:36:14.929587,2026-05-04T22:40:04.163249,2026-05-04T22:40:04.163249,,medium,,0.0,'str' object has no attribute 'name'
